vehicle_id,make,model,year,vehicle_type,capacity_kg,purchase_date,current_mileage_km,fuel_efficiency_km_l,annual_maintenance_cost,driver_performance_score,vechicle_age,cost_per_km,monthly_milegade,vechicle_age_month,monthlt_milegade,Efficiency category,vehicle_age_years,vehicle_age_months,monthly_mileage,efficiency_category,replacement_action,km_per_year
Veh1000,Isuzu,Modela,2010,Trailer,13234,2022-06-17,824724,4.4,3154.69,64,41,0.0038,1676.2683,492,1676.2682926829268,Low,3.5,42.0,19636.29,Low,Keep,235635.43
Veh1001,Volvo,Modele,2017,Van,19290,2018-05-14,312114,8.4,1671.87,77,90,0.0054,288.9944,1080,288.99444444444447,Low,7.59,91.1,3426.06,Low,Keep,41112.71
Veh1002,Man,Modeld,2023,Van,7254,2023-08-03,69279,8.8,962.02,87,27,0.0139,213.8241,324,213.82407407407408,Low,2.37,28.4,2439.4,Low,Keep,29272.82
Veh1003,Isuzu,Modeld,2023,Van,18144,2023-12-11,63946,12.5,1085.36,81,23,0.017,231.6884,276,231.68840579710144,Medium,2.01,24.1,2653.36,Medium,Keep,31840.33
Veh1004,Toyota,Modeld,2021,Van,8350,2021-04-27,92481,11.0,1039.38,80,55,0.0112,140.1227,660,140.12272727272727,Medium,4.64,55.7,1660.34,Medium,Keep,19924.09
Veh1005,Man,Modeld,2012,Car,16183,2018-06-10,160418,12.1,1331.94,65,89,0.0083,150.2041,1068,150.20411985018723,Medium,7.52,90.2,1778.47,Medium,Keep,21341.64
Veh1006,Man,Modeld,2016,Truck,7238,2023-04-18,380910,2.8,2723.69,60,31,0.0072,1023.9516,372,1023.951612903226,Low,2.66,31.9,11940.75,Low,Keep,143289.03
Veh1007,Isuzu,Modelc,2024,Truck,7090,2024-04-07,74647,4.5,1327.15,64,19,0.0178,327.3991,228,327.39912280701753,Low,1.69,20.3,3677.19,Low,Keep,44126.31
Veh1008,Mercedes,Modelb,2021,Van,12637,2021-08-23,128089,8.0,1301.61,71,51,0.0102,209.2958,612,209.29575163398687,Low,4.31,51.7,2477.54,Low,Keep,29730.52
Veh1009,Toyota,Modeld,2011,Car,13647,2017-02-27,288695,13.0,1003.82,85,105,0.0035,229.123,1260,229.12301587301587,Medium,8.8,105.6,2733.85,Medium,Keep,32806.25
Veh1010,Isuzu,Modela,2011,Van,10911,2020-07-17,285763,10.7,1781.23,93,64,0.0062,372.0872,768,372.0872395833333,Medium,5.41,64.9,4403.13,Medium,Keep,52837.53
Veh1011,Toyota,Modela,2016,Truck,9472,2016-09-17,709167,4.6,3363.07,73,110,0.0047,537.2477,1320,537.2477272727273,Low,9.24,110.9,6394.65,Low,Keep,76735.83
Veh1012,Toyota,Modela,2024,Van,19271,2024-10-22,36648,11.3,1038.61,85,13,0.0283,234.9231,156,234.92307692307693,Medium,1.15,13.8,2655.65,Medium,Keep,31867.83
Veh1013,Man,Modela,2015,Car,4266,2015-01-21,131850,13.3,1029.38,86,130,0.0078,84.5192,1560,84.51923076923077,Medium,10.9,130.8,1008.03,Medium,Keep,12096.33
Veh1014,Volvo,Modelc,2012,Truck,1666,2015-05-21,614548,4.6,3631.94,68,126,0.0059,406.4471,1512,406.4470899470899,Low,10.57,126.8,4846.59,Low,Review for Disposal,58159.12
Veh1015,Toyota,Modela,2018,Truck,5188,2019-04-30,331353,3.2,2497.41,85,79,0.0075,349.5285,948,349.52848101265823,Low,6.63,79.6,4162.73,Low,Keep,49952.71
Veh1016,Scania,Modeld,2019,Van,18055,2019-03-15,156509,9.6,1174.12,81,80,0.0075,163.0302,960,163.03020833333332,Low,6.75,81.0,1932.21,Low,Keep,23186.52
Veh1017,Man,Modele,2024,Van,11161,2024-03-29,30495,11.7,819.69,89,20,0.0269,127.0625,240,127.0625,Medium,1.71,20.5,1487.56,Medium,Keep,17850.73
Veh1018,Mercedes,Modela,2023,Truck,12314,2023-04-06,114555,4.4,1924.21,76,31,0.0168,307.9435,372,307.9435483870968,Low,2.69,32.3,3546.59,Low,Keep,42559.13
Veh1019,Volvo,Modelc,2022,Truck,13891,2022-07-12,154947,5.0,2146.85,85,40,0.0139,322.8062,480,322.80625,Low,3.43,41.2,3760.85,Low,Keep,45130.19
Veh1020,Scania,Modelc,2015,Truck,5777,2020-05-26,644741,4.5,3349.89,95,66,0.0052,814.0669,792,814.0669191919192,Low,5.56,66.7,9666.28,Low,Keep,115995.38
Veh1021,Scania,Modela,2019,Truck,4900,2021-04-23,273478,4.2,2678.03,60,55,0.0098,414.3606,660,414.3606060606061,Low,4.65,55.8,4901.04,Low,Keep,58812.47
