vehicle_id,make,model,year,vehicle_type,capacity_kg,purchase_date,current_mileage_km,fuel_efficiency_km_l,annual_maintenance_cost,driver_performance_score
VEH1000,Isuzu,ModelA,2010,Trailer,13234,2022-06-17,824724,4.4,3154.69,64
VEH1001,Volvo,ModelE,2017,Van,19290,2018-05-14,312114,8.4,1671.87,77
VEH1002,MAN,ModelD,2023,Van,7254,2023-08-03,69279,8.8,962.02,87
VEH1003,Isuzu,ModelD,2023,Van,18144,2023-12-11,63946,12.5,1085.36,81
VEH1004,Toyota,ModelD,2021,Van,8350,2021-04-27,92481,11.0,1039.38,80
VEH1005,MAN,ModelD,2012,Car,16183,2018-06-10,160418,12.1,1331.94,65
VEH1006,MAN,ModelD,2016,Truck,7238,2023-04-18,380910,2.8,2723.69,60
VEH1007,Isuzu,ModelC,2024,Truck,7090,2024-04-07,74647,4.5,1327.15,64
VEH1008,Mercedes,ModelB,2021,Van,12637,2021-08-23,128089,8.0,1301.61,71
VEH1009,Toyota,ModelD,2011,Car,13647,2017-02-27,288695,13.0,1003.82,85
VEH1010,Isuzu,ModelA,2011,Van,10911,2020-07-17,285763,10.7,1781.23,93
VEH1011,Toyota,ModelA,2016,Truck,9472,2016-09-17,709167,4.6,3363.07,73
VEH1012,Toyota,ModelA,2024,Van,19271,2024-10-22,36648,11.3,1038.61,85
VEH1013,MAN,ModelA,2015,Car,4266,2015-01-21,131850,13.3,1029.38,86
VEH1014,Volvo,ModelC,2012,Truck,1666,2015-05-21,614548,4.6,3631.94,68
VEH1015,Toyota,ModelA,2018,Truck,5188,2019-04-30,331353,3.2,2497.41,85
VEH1016,Scania,ModelD,2019,Van,18055,2019-03-15,156509,9.6,1174.12,81
VEH1017,MAN,ModelE,2024,Van,11161,2024-03-29,30495,11.7,819.69,89
VEH1018,Mercedes,ModelA,2023,Truck,12314,2023-04-06,114555,4.4,1924.21,76
VEH1019,Volvo,ModelC,2022,Truck,13891,2022-07-12,154947,5.0,2146.85,85
VEH1020,Scania,ModelC,2015,Truck,5777,2020-05-26,644741,4.5,3349.89,95
VEH1021,Scania,ModelA,2019,Truck,4900,2021-04-23,273478,4.2,2678.03,60
VEH1022,Mercedes,ModelE,2019,Trailer,14716,2022-09-08,310114,2.8,2007.56,67
VEH1023,Volvo,ModelA,2015,Car,7981,2017-10-19,154954,14.2,997.77,94
VEH1024,MAN,ModelC,2010,Truck,7376,2016-09-21,873641,3.3,3086.34,74
VEH1025,Ford,ModelB,2013,Trailer,17907,2014-03-21,856884,3.2,3365.38,81
VEH1026,Volvo,ModelD,2019,Van,19777,2020-10-07,143960,12.9,1250.06,73
VEH1027,Mercedes,ModelC,2015,Van,19977,2015-06-08,302846,10.0,1848.13,85
VEH1028,Scania,ModelA,2024,Van,11160,2024-07-02,31848,12.5,827.52,87
VEH1029,MAN,ModelD,2015,Truck,15124,2015-04-20,418580,4.4,2540.48,82
VEH1030,Volvo,ModelA,2020,Truck,17282,2021-03-26,321508,4.9,1928.69,73
VEH1031,Ford,ModelA,2021,Van,11488,2021-06-09,93641,10.5,1237.16,83
VEH1032,Ford,ModelB,2014,Van,6240,2020-05-03,234311,10.9,1759.44,61
VEH1033,Toyota,ModelD,2010,Truck,11453,2017-09-10,1169331,4.0,3151.68,85
VEH1034,Toyota,ModelD,2017,Car,11478,2017-08-04,195875,13.2,750.28,73
VEH1035,Isuzu,ModelB,2014,Car,13394,2018-10-01,243385,16.3,1134.41,66
VEH1036,Mercedes,ModelC,2021,Truck,5432,2021-12-30,208738,3.3,1741.12,62
